order,chapter_id,letter_number,source_file,source_sha256,translation_file,status,date,source_pages
43,m1-l0043,0043,processed/vol1/ocr/04_source_spine/m1-l0043/chapter.json,81cb16e5d7ade634145897824c4a170211987017e6137bd1c19d46ed2a3fcbd2,translations/vol1/m1-l0043.en.md,translated,1972-07-17,m1-p0184;m1-p0185;m1-p0186
44,m1-l0044,0044,processed/vol1/ocr/04_source_spine/m1-l0044/chapter.json,9d4992b5c62f93f3622a562d62d4ced7d912e831dae293f72671e7471184f008,translations/vol1/m1-l0044.en.md,translated,1972-07-22,m1-p0187;m1-p0188;m1-p0189;m1-p0190;m1-p0191
45,m1-l0045,0045,processed/vol1/ocr/04_source_spine/m1-l0045/chapter.json,b99e33d5b4f093830af25b17ac09bfa2a2132dfd3e49acbca5ed0c1b72c0ad44,translations/vol1/m1-l0045.en.md,translated,1972-08-09,m1-p0192;m1-p0193;m1-p0194;m1-p0195
46,m1-l0046,0046,processed/vol1/ocr/04_source_spine/m1-l0046/chapter.json,5d45e3e0990c5b8777b0f42fcb73c9df84d24cf5b04124fae74d8505184412f4,translations/vol1/m1-l0046.en.md,translated,1972-08-10,m1-p0196;m1-p0197;m1-p0198;m1-p0199
47,m1-l0047,0047,processed/vol1/ocr/04_source_spine/m1-l0047/chapter.json,678a77b847d6035973c6f4631de2380189d1799e61412f8cf3676d47c1b55432,translations/vol1/m1-l0047.en.md,translated,1972-08-29,m1-p0200;m1-p0201;m1-p0202
48,m1-l0048,0048,processed/vol1/ocr/04_source_spine/m1-l0048/chapter.json,8c0daccf12d7806fafbccaf1583efe09926d83abfd71356ae695b4b78f1a9f3d,translations/vol1/m1-l0048.en.md,translated,1972-10-10,m1-p0203;m1-p0204;m1-p0205
49,m1-l0049,0049,processed/vol1/ocr/04_source_spine/m1-l0049/chapter.json,52c02212fbf7ec248fb78912d707ed56e43c4fe24b69b63db22ec8a3ed3f7663,translations/vol1/m1-l0049.en.md,translated,1972-10-20,m1-p0206;m1-p0207;m1-p0208;m1-p0209
50,m1-l0050,0050,processed/vol1/ocr/04_source_spine/m1-l0050/chapter.json,7a369523dd1b28363e0295924babad508d22ef011a654c59b345d4175ef128fc,translations/vol1/m1-l0050.en.md,translated,1972-10-21,m1-p0210;m1-p0211;m1-p0212;m1-p0213
51,m1-l0051,0051,processed/vol1/ocr/04_source_spine/m1-l0051/chapter.json,ab88a5547e8a132459cf8d8b00f003b4d718c50e8e29a4fe79b3a7f95863a2da,translations/vol1/m1-l0051.en.md,translated,1972-10-23,m1-p0214;m1-p0215;m1-p0216;m1-p0217;m1-p0218
52,m1-l0052,0052,processed/vol1/ocr/04_source_spine/m1-l0052/chapter.json,612800cd3f6fe81b42950dbb19e8729da7948cdb67ac9c4c6f3e6cef22b6bc9b,translations/vol1/m1-l0052.en.md,translated,1973-01-23,m1-p0219;m1-p0220;m1-p0221;m1-p0222
53,m1-l0053,0053,processed/vol1/ocr/04_source_spine/m1-l0053/chapter.json,60399249b66f30c87b5550044f16a591e0174b6c401678cfa26da6072e724a6d,translations/vol1/m1-l0053.en.md,translated,1973-05-12,m1-p0223;m1-p0224;m1-p0225;m1-p0226
54,m1-l0054,0054,processed/vol1/ocr/04_source_spine/m1-l0054/chapter.json,957bf59f98cbbf53cc3fd93e3805dffce81a8b9b9b7cd9a6854ff4b22643aaec,translations/vol1/m1-l0054.en.md,translated,1973-05-13,m1-p0227;m1-p0228;m1-p0229
55,m1-l0055,0055,processed/vol1/ocr/04_source_spine/m1-l0055/chapter.json,ce0774d9466ae960f40911e191a60bfe49978cd372076db53a5face272bf6dac,translations/vol1/m1-l0055.en.md,translated,1973-05-23,m1-p0230;m1-p0231;m1-p0232
56,m1-l0056,0056,processed/vol1/ocr/04_source_spine/m1-l0056/chapter.json,c09e8be42bdecb3824b88c01861238b81670b481798e66570eef6e71a3d28fc1,translations/vol1/m1-l0056.en.md,translated,1973-05-24,m1-p0233;m1-p0234;m1-p0235
57,m1-l0057,0057,processed/vol1/ocr/04_source_spine/m1-l0057/chapter.json,b32d3b194a589f99bb7ad697d3feb300c399d0ecb8a54c5f8818bacde6c45a09,translations/vol1/m1-l0057.en.md,translated,1973-05-28,m1-p0236;m1-p0237;m1-p0238
58,m1-l0058,0058,processed/vol1/ocr/04_source_spine/m1-l0058/chapter.json,b9309ed6ade235c4df1af2f9c812ce878d2a4b4360176547cd432325e51a661e,translations/vol1/m1-l0058.en.md,translated,1973-05-29,m1-p0239;m1-p0240
59,m1-l0059,0059,processed/vol1/ocr/04_source_spine/m1-l0059/chapter.json,692ef46950fc50f94778b4da7a187c937e8a95f482d6a44d547fccfc51ea4df8,translations/vol1/m1-l0059.en.md,translated,1973-05-30,m1-p0241;m1-p0242;m1-p0243;m1-p0244;m1-p0245
60,m1-l0060,0060,processed/vol1/ocr/04_source_spine/m1-l0060/chapter.json,4a6a9fbab1bff7b957b74b9eb7ea7ed74345dd7369d07b172c57da3c30e5ad76,translations/vol1/m1-l0060.en.md,translated,1973-06-02,m1-p0246;m1-p0247;m1-p0248;m1-p0249
61,m1-l0061,0061,processed/vol1/ocr/04_source_spine/m1-l0061/chapter.json,96ce9b274e3f00ce0cc96f1e3b218f9ac7539449ed1843688f0651c71fb50588,translations/vol1/m1-l0061.en.md,translated,1973-06-15,m1-p0250;m1-p0251;m1-p0252
62,m1-l0062,0062,processed/vol1/ocr/04_source_spine/m1-l0062/chapter.json,38f630a7c9a75ae2bb598512ff3d6998c0dccd37acef61a713c74bddf099509a,translations/vol1/m1-l0062.en.md,translated,1973-06-24,m1-p0253;m1-p0254;m1-p0255
63,m1-l0063,0063,processed/vol1/ocr/04_source_spine/m1-l0063/chapter.json,cc3b7b0bfaac9eaf9d62b1c269c3c822bcf6f69ed8797154c2823e4816bd6eb5,translations/vol1/m1-l0063.en.md,translated,,m1-p0256;m1-p0257;m1-p0258;m1-p0259
64,m1-l0064,0064,processed/vol1/ocr/04_source_spine/m1-l0064/chapter.json,12b73d8eef92eb45bd12a66ff97620f69f06dbbc536404dbfe61882cbd11d8ba,translations/vol1/m1-l0064.en.md,translated,1973-07-02,m1-p0260;m1-p0261;m1-p0262
65,m1-l0065,0065,processed/vol1/ocr/04_source_spine/m1-l0065/chapter.json,af21316c1d7b1c9e99ef861eb4b7e4368090e27a802ed4983984cd25aacfe67e,translations/vol1/m1-l0065.en.md,translated,1973-07-23,m1-p0263;m1-p0264;m1-p0265
66,m1-l0066,0066,processed/vol1/ocr/04_source_spine/m1-l0066/chapter.json,35779bb5a45ce31af8b889e9350ccab605579903022a9ce3f4c6f837c70b35d6,translations/vol1/m1-l0066.en.md,translated,1973-10-02,m1-p0266;m1-p0267;m1-p0268
67,m1-l0067,0067,processed/vol1/ocr/04_source_spine/m1-l0067/chapter.json,5c30af44a202cbfefa18cf11580d46339af4269cc1bf7837c4d6b84ff1e4c1fd,translations/vol1/m1-l0067.en.md,translated,1973-11-29,m1-p0269;m1-p0270
68,m1-l0068,0068,processed/vol1/ocr/04_source_spine/m1-l0068/chapter.json,cc7780f9592246bf7146ac3ebf2cfdb35935246ead26ef1bfddbea5d574eeece,translations/vol1/m1-l0068.en.md,translated,1973-12-03,m1-p0271;m1-p0272
69,m1-l0069,0069,processed/vol1/ocr/04_source_spine/m1-l0069/chapter.json,8c56b778d20179434d24d99a856b2e28024c9d25b98d13d5bf018de39a350d0e,translations/vol1/m1-l0069.en.md,translated,1973-12-07,m1-p0273;m1-p0274
